,stm_bus_stop_id,stm_bus_stop_name,stm_bus_stop_code,stm_bus_stop_location_type,stm_bus_stop_latitude,stm_bus_stop_longitude,stm_bus_stop_is_wheelchair_accessible,stm_bus_stop_is_active
611,50119,Sherbrooke / Yves-Thériault,50119,Stop,45.678884,-73.501596,False,True
612,50120,Sherbrooke / Arthur-Généreux,50120,Stop,45.68093,-73.500938,False,True
613,50121,Sherbrooke / Arthur-Généreux,50121,Stop,45.681172,-73.50101,False,True
614,50122,Henri-Bourassa / No 9875,50122,Stop,45.645178,-73.551215,True,True
615,50123,Sherbrooke / du Parc-La-Fontaine,50123,Stop,45.52155,-73.565691,True,True
616,50124,Gouin / du Ruisseau,50124,Stop,45.510483,-73.753399,False,True
617,50125,Gouin / Wilfrid-Lazure,50125,Stop,45.518952,-73.742992,False,True
618,50126,Gouin / Antoine-Berthelet,50126,Stop,45.520348,-73.741198,False,True
619,50127,Gouin / Albert-Prévost,50127,Stop,45.522795,-73.738182,True,True
620,50128,Gouin / Toupin,50128,Stop,45.524118,-73.736279,True,True
621,50129,Gouin / Toupin,50129,Stop,45.523831,-73.73646,True,True
622,50130,Toupin / Gouin,50130,Stop,45.523686,-73.736102,True,True
623,50131,de Beauséjour / Gouin,50131,Stop,45.524909,-73.734324,True,True
624,50132,Gouin / de Beauséjour,50132,Stop,45.525126,-73.734468,True,True
625,50133,Gouin / de Beauséjour,50133,Stop,45.524869,-73.734645,True,True
626,50134,Gouin / Olivier,50134,Stop,45.525747,-73.73237,True,True
627,50135,Gouin / Olivier,50135,Stop,45.525705,-73.731987,True,True
628,50136,Gouin / Henri-D'Arles,50136,Stop,45.526685,-73.730418,True,True
629,50137,Gouin / Henri-D'Arles,50137,Stop,45.526374,-73.730507,True,True
630,50138,Gouin / du Golf,50138,Stop,45.527854,-73.728571,True,True
631,50140,Gouin / de Somerset,50140,Stop,45.5288,-73.725537,True,True
632,50141,Gouin / de Somerset,50141,Stop,45.528576,-73.725786,True,True
633,50142,Gouin / Cousineau,50142,Stop,45.52932,-73.72404,True,True
634,50144,Gouin / Laurentien,50144,Stop,45.529902,-73.723167,True,True
635,50145,Gouin / Cousineau,50145,Stop,45.529282,-73.723776,True,True
636,50146,Gouin / Lachapelle,50146,Stop,45.530971,-73.721893,True,True
637,50148,Ranger / Gouin,50148,Stop,45.531522,-73.720881,True,True
638,50149,Grenet / De Serres,50149,Stop,45.531255,-73.718523,True,True
639,50150,De Serres / Grenet,50150,Stop,45.531603,-73.718828,True,True
640,50151,Grenet / Gouin,50151,Stop,45.532006,-73.719702,True,True
641,50154,Grenet / De Mésy,50154,Stop,45.530659,-73.717589,True,True
642,50155,Grenet / De Mésy,50155,Stop,45.530747,-73.717976,True,True
643,50156,De Mésy / Grenet,50156,Stop,45.530522,-73.717984,True,True
644,50157,Gouin / de la Miséricorde,50157,Stop,45.53345,-73.717587,True,True
645,50158,Gouin / de la Miséricorde,50158,Stop,45.533105,-73.717834,True,True
646,50160,Gouin / Notre-Dame-des-Anges (Hôpital du Sacré-Coe,50160,Stop,45.53421,-73.715879,True,True
647,50161,Grenet / Legault,50161,Stop,45.529502,-73.715782,True,True
648,50162,Grenet / Legault,50162,Stop,45.52961,-73.716209,True,True
649,50164,Saint-Évariste / Gouin,50164,Stop,45.535469,-73.714627,True,True
650,50165,Gouin / Saint-Évariste,50165,Stop,45.535391,-73.714834,True,True
651,50166,Gouin / Saint-Évariste,50166,Stop,45.535515,-73.715061,True,True
652,50167,De Salaberry / Lachapelle,50167,Stop,45.526622,-73.71429,True,True
653,50168,De Salaberry / Lachapelle,50168,Stop,45.526704,-73.713843,True,True
654,50169,Gouin / O'Brien,50169,Stop,45.536339,-73.713634,True,True
655,50170,Gouin / Saint-Germain,50170,Stop,45.536255,-73.713986,True,True
656,50171,Grenet / De Salaberry,50171,Stop,45.527567,-73.712734,True,True
657,50172,De Salaberry / Grenet,50172,Stop,45.527829,-73.712795,True,True
658,50173,Grenet / De Salaberry,50173,Stop,45.527306,-73.712583,True,True
659,50174,De Salaberry / Grenet,50174,Stop,45.527465,-73.712955,True,True
660,50175,Gouin / Dépatie,50175,Stop,45.537531,-73.712055,True,True
661,50176,Gouin / Dépatie,50176,Stop,45.537311,-73.712145,True,True
662,50177,Grenet / No 11940,50177,Stop,45.526654,-73.711563,True,True
663,50178,De Salaberry / De Meulles,50178,Stop,45.529281,-73.711002,True,True
664,50179,De Salaberry / De Meulles,50179,Stop,45.528998,-73.711061,True,True
665,50180,Gouin / Filion,50180,Stop,45.538528,-73.710535,True,True
666,50181,Gouin / Filion,50181,Stop,45.538404,-73.710462,True,True
667,50182,de Louisbourg / Ranger,50182,Stop,45.524939,-73.71063,True,True
668,50183,Grenet / de Louisbourg,50183,Stop,45.525586,-73.709629,True,True
669,50184,Grenet / de Louisbourg,50184,Stop,45.525677,-73.710026,True,True
670,50185,de Louisbourg / Grenet,50185,Stop,45.5255,-73.709935,True,True
671,50186,de Louisbourg / Grenet,50186,Stop,45.525412,-73.710255,True,True
672,50187,Gouin / Bohlé,50187,Stop,45.540315,-73.708542,True,True
673,50188,Gouin / Bohlé,50188,Stop,45.540096,-73.708604,True,True
674,50189,De Salaberry / Saint-Évariste,50189,Stop,45.531526,-73.708222,True,True
675,50190,De Salaberry / Saint-Évariste,50190,Stop,45.531256,-73.708266,True,True
